essay_id,human_rating,education,mean,std,min,max,range
N10026X,4.868101783,1.211358752,4.789795918367346,0.8739862932657047,3.2,6.7,3.5
N10054B,6.922006082,0.079655412,7.018367346938775,0.9311000370054576,4.4,8.6,4.199999999999999
N10094K,5.130515633,0.079655412,5.2,1.0259142264341596,3.3,7.7,4.4
N10134A,4.807307601,0.079655412,5.06734693877551,0.9170577397084568,3.6,7.2,3.6
N10165H,5.858544569,0.079655412,6.061224489795919,1.0313454655874315,3.9,8.9,5.0
N10192L,4.290974343,1.211358752,4.336734693877551,1.0967174274380151,1.0,6.5,5.5
N10221Y,5.543519855,0.079655412,5.842857142857143,0.7339959127951599,4.7,7.7,3.0
N10250D,5.5788289,0.079655412,5.76530612244898,0.9393151362402652,3.6,7.9,4.300000000000001
N10293Q,6.053910597,0.079655412,6.238775510204081,1.0854753809834141,4.1,8.2,4.1
N10301X,5.673344379,0.079655412,5.622448979591836,1.0066994971445153,3.2,8.1,4.8999999999999995
